Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
198,Sint Maarten,"11,030",,92,,"10,905",33,N/A,"250,876","2,093","62,056","1,411,454","43,966"
200,Niger,"9,931",,312,,"8,890",729,1,381,12,"254,538","9,759","26,083,660"
201,St. Vincent Grenadines,"9,611",,124,,"9,480",7,,"86,158","1,112","114,024","1,022,169","111,551"
202,Guinea-Bissau,"9,350",,176,,"8,929",245,6,"4,531",85,"145,231","70,385","2,063,367"
203,Antigua and Barbuda,"9,106",,146,,"8,954",6,1,"91,509","1,467","18,901","189,943","99,509"
204,Comoros,"9,105",,161,,"8,939",5,,"10,034",177,,,"907,419"
205,Liberia,"8,090",,295,,"7,783",12,2,"1,525",56,"139,824","26,356","5,305,117"
206,Sierra Leone,"7,762",,126,,N/A,N/A,,934,15,"259,958","31,296","8,306,436"
207,Chad,"7,698",,194,,"4,874","2,630",,442,11,"191,341","10,988","17,413,580"
208,British Virgin Islands,"7,305",,64,,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596"
209,Cook Islands,"7,062",,2,,"7,059",1,,"401,912",114,"19,690","1,120,596","17,571"
211,Sao Tome and Principe,"6,568",,80,,"6,482",6,,"28,848",351,"29,036","127,530","227,679"
212,Turks and Caicos,"6,565",,38,,"6,509",18,4,"165,195",956,"612,335","15,408,143","39,741"
214,St. Barth,"5,485",,6,,N/A,N/A,,"551,533",603,"78,646","7,908,095","9,945"
215,Nauru,"5,393",,1,,"5,347",45,,"494,635",92,"20,509","1,881,042","10,903"
216,Kiribati,"5,025",,24,,"2,703","2,298",3,"40,715",194,,,"123,419"
217,Anguilla,"3,904",,12,,"3,879",13,4,"256,336",788,"51,382","3,373,736","15,230"
218,Macao,"3,517",,121,,"3,395",1,,"5,269",181,"7,850","11,760","667,490"
219,Saint Pierre Miquelon,"3,452",,2,,"2,449","1,001",1,"599,410",347,"25,400","4,410,488","5,759"
220,Wallis and Futuna,"3,427",,7,,438,"2,982",,"312,056",637,"20,508","1,867,419","10,982"
221,Tuvalu,"2,805",,,,,"2,805",,"232,471",,,,"12,066"
222,Saint Helena,"2,166",,,,2,"2,164",,"354,211",,,,"6,115"
224,Montserrat,"1,403",,8,,"1,376",19,,"282,578","1,611","17,762","3,577,442","4,965"
230,Tokelau,5,,,,,5,,"3,628",,,,"1,378"
231,China,"503,302",,"5,272",,"379,053","118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400"
